source_ip,window_id,attempts_in_window,unique_usernames_in_window,mean_interarrival_sec,std_interarrival_sec,min_interarrival_sec,mean_payload_size,std_payload_size,true_label,binary_label
10.0.0.15,29822812,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822813,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822815,2,1,23.419129848480225,0.0,23.419129848480225,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822816,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822817,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822819,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822821,2,1,6.583843469619751,0.0,6.583843469619751,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822822,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822823,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822824,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822825,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822826,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822828,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822829,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822830,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822831,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822832,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822833,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822835,2,1,17.178507804870605,0.0,17.178507804870605,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822836,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822838,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822839,2,1,31.256779193878174,0.0,31.256779193878174,84.5,0.7071067811865476,NORMAL,NORMAL
10.0.0.15,29822840,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822841,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822842,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822843,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822844,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822845,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822847,2,1,28.820186614990234,0.0,28.820186614990234,84.5,0.7071067811865476,NORMAL,NORMAL
10.0.0.15,29822849,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822850,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822852,1,1,60.0,0.0,60.0,86.0,0.0,NORMAL,NORMAL
10.0.0.15,29822854,3,1,19.288220167160034,0.27864646911621094,19.009573698043823,85.33333333333333,0.5773502691896257,NORMAL,NORMAL
10.0.0.15,29822855,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822856,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822858,2,1,53.37094283103943,0.0,53.37094283103943,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822860,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822861,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822862,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822863,2,1,10.63308596611023,0.0,10.63308596611023,84.5,0.7071067811865476,NORMAL,NORMAL
10.0.0.15,29822865,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822867,2,1,6.832146406173706,0.0,6.832146406173706,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822868,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822869,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822870,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822871,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822873,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822875,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822876,3,1,6.626910090446472,0.5362449884414673,6.090665102005005,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822877,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822879,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822881,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822882,2,1,22.511223554611206,0.0,22.511223554611206,85.0,1.4142135623730951,NORMAL,NORMAL
10.0.0.15,29822884,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822885,1,1,60.0,0.0,60.0,86.0,0.0,NORMAL,NORMAL
10.0.0.15,29822887,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822889,2,1,24.218219995498657,0.0,24.218219995498657,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822890,2,1,25.306625366210938,0.0,25.306625366210938,85.5,0.7071067811865476,NORMAL,NORMAL
10.0.0.15,29822891,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822893,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822895,2,1,33.614595890045166,0.0,33.614595890045166,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822896,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822898,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822899,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822901,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822902,2,1,5.038807392120361,0.0,5.038807392120361,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822903,2,1,28.214417219161987,0.0,28.214417219161987,84.5,0.7071067811865476,NORMAL,NORMAL
10.0.0.15,29822905,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822906,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822908,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822909,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822911,2,1,32.997034311294556,0.0,32.997034311294556,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822912,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822913,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822914,3,1,23.646228790283203,16.39183020591736,7.254398584365845,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822916,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822918,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822919,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822921,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822922,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822924,3,1,18.098657727241516,2.9904221296310425,15.108235597610474,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822925,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822926,2,1,9.937947750091553,0.0,9.937947750091553,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822928,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822929,3,1,21.310845255851746,7.338586688041687,13.972258567810059,84.66666666666667,0.5773502691896257,NORMAL,NORMAL
10.0.0.15,29822931,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822932,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822934,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822936,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822937,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822938,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822939,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822940,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822942,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822943,2,1,16.155932903289795,0.0,16.155932903289795,84.5,0.7071067811865476,NORMAL,NORMAL
10.0.0.15,29822944,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822946,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822947,2,1,23.559553384780884,0.0,23.559553384780884,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822948,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822949,1,1,60.0,0.0,60.0,84.0,0.0,NORMAL,NORMAL
10.0.0.15,29822950,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822951,1,1,60.0,0.0,60.0,85.0,0.0,NORMAL,NORMAL
10.0.0.15,29822953,2,1,38.24537706375122,0.0,38.24537706375122,84.5,0.7071067811865476,NORMAL,NORMAL
10.0.0.15,29822955,2,1,35.343831062316895,0.0,35.343831062316895,84.5,0.7071067811865476,NORMAL,NORMAL
